Toronto Raptors,110.957,107.263
Phoenix Suns,120.617,109.883
Toronto Raptors,110.957,107.263
Dallas Mavericks,107.095,104.55
Indiana Pacers,116.129,122.326
San Antonio Spurs,117.723,120.853
Boston Celtics,111.986,101.217
Cleveland Cavaliers,108.809,110.76
Orlando Magic,108.824,116.967
Chicago Bulls,110.993,114.051
Toronto Raptors,110.957,107.263
Boston Celtics,111.986,101.217
Chicago Bulls,110.993,114.051
Washington Wizards,112.441,119.34
Detroit Pistons,106.29,111.493
Milwaukee Bucks,123.271,117.626
Los Angeles Clippers,107.818,109.137
Indiana Pacers,116.129,122.326
Portland Trail Blazers,103.943,120.757
Charlotte Hornets,119.689,115.435
