Charlotte Hornets,119.689,115.435
Atlanta Hawks,116.251,114.928
Portland Trail Blazers,103.943,120.757
Los Angeles Clippers,107.818,109.137
New York Knicks,113.46,108.286
Milwaukee Bucks,123.271,117.626
Portland Trail Blazers,103.943,120.757
Golden State Warriors,112.813,111.661
Utah Jazz,115.449,109.931
Los Angeles Clippers,107.818,109.137
New Orleans Pelicans,116.984,115.831
Dallas Mavericks,107.095,104.55
Los Angeles Clippers,107.818,109.137
Golden State Warriors,112.813,111.661
San Antonio Spurs,117.723,120.853
Houston Rockets,111.29,122.694
Washington Wizards,112.441,119.34
Phoenix Suns,120.617,109.883
Toronto Raptors,110.957,107.263
Minnesota Timberwolves,125.01,113.123
