Boston Celtics,111.986,101.217
Toronto Raptors,110.957,107.263
San Antonio Spurs,117.723,120.853
Charlotte Hornets,119.689,115.435
Washington Wizards,112.441,119.34
New Orleans Pelicans,116.984,115.831
Brooklyn Nets,117.731,113.728
Dallas Mavericks,107.095,104.55
Charlotte Hornets,119.689,115.435
New York Knicks,113.46,108.286
San Antonio Spurs,117.723,120.853
Chicago Bulls,110.993,114.051
Milwaukee Bucks,123.271,117.626
Brooklyn Nets,117.731,113.728
Philadelphia 76ers,112.074,111.699
Houston Rockets,111.29,122.694
Phoenix Suns,120.617,109.883
Cleveland Cavaliers,108.809,110.76
Minnesota Timberwolves,125.01,113.123
Detroit Pistons,106.29,111.493
