New York Knicks,113.46,108.286
Denver Nuggets,117.57,112.588
Washington Wizards,112.441,119.34
Portland Trail Blazers,103.943,120.757
Los Angeles Clippers,107.818,109.137
Los Angeles Lakers,110.881,119.847
Phoenix Suns,120.617,109.883
Portland Trail Blazers,103.943,120.757
Indiana Pacers,116.129,122.326
Philadelphia 76ers,112.074,111.699
Brooklyn Nets,117.731,113.728
Charlotte Hornets,119.689,115.435
Miami Heat,109.593,105.388
Chicago Bulls,110.993,114.051
Phoenix Suns,120.617,109.883
Oklahoma City Thunder,111.132,123.613
Atlanta Hawks,116.251,114.928
Golden State Warriors,112.813,111.661
Utah Jazz,115.449,109.931
Sacramento Kings,114.139,119.38
