Houston Rockets,124,106
New Orleans Pelicans,96,89
New Orleans Pelicans,98,107
Milwaukee Bucks,113,108
Denver Nuggets,91,93
Orlando Magic,97,115
Los Angeles Clippers,115,126
Los Angeles Clippers,84,104
Memphis Grizzlies,118,125
Golden State Warriors,110,123
Los Angeles Lakers,107,83
Los Angeles Clippers,102,129
Phoenix Suns,96,99
Sacramento Kings,107,97
San Antonio Spurs,115,90
Memphis Grizzlies,138,95
New Orleans Pelicans,110,96
Miami Heat,113,101
Charlotte Hornets,115,133
Philadelphia 76ers,121,120
Indiana Pacers,100,98
Washington Wizards,107,115
Brooklyn Nets,105,110
Atlanta Hawks,110,121
Utah Jazz,104,136
Cleveland Cavaliers,106,123
Portland Trail Blazers,116,111
Denver Nuggets,124,107
Los Angeles Lakers,110,92
Dallas Mavericks,111,105
Dallas Mavericks,102,114
Utah Jazz,116,128
Boston Celtics,108,103
New York Knicks,88,96
Utah Jazz,108,120
Los Angeles Lakers,103,108
Los Angeles Clippers,122,104
Oklahoma City Thunder,98,90
Oklahoma City Thunder,135,105
Houston Rockets,141,123
New Orleans Pelicans,125,128
Memphis Grizzlies,108,116
Golden State Warriors,119,99
New York Knicks,112,110
Atlanta Hawks,122,134
Brooklyn Nets,136,125
Portland Trail Blazers,109,107
Golden State Warriors,115,124
Phoenix Suns,124,134
Utah Jazz,126,106
Denver Nuggets,130,115
Detroit Pistons,128,117
Detroit Pistons,118,105
Sacramento Kings,134,114
Sacramento Kings,119,132
Chicago Bulls,122,134
Indiana Pacers,129,120
Charlotte Hornets,126,120
Toronto Raptors,91,103
Memphis Grizzlies,119,114
Philadelphia 76ers,102,133
Cleveland Cavaliers,127,122
Golden State Warriors,129,114
Oklahoma City Thunder,138,101
Portland Trail Blazers,135,121
Portland Trail Blazers,124,81
Oklahoma City Thunder,132,102
Orlando Magic,110,118
Miami Heat,113,104
San Antonio Spurs,149,139
Los Angeles Lakers,124,104
