Orlando Magic,123,97
Denver Nuggets,96,102
Milwaukee Bucks,111,121
Los Angeles Lakers,121,125
Dallas Mavericks,99,104
Milwaukee Bucks,102,93
Indiana Pacers,118,131
Dallas Mavericks,108,109
Orlando Magic,102,89
Oklahoma City Thunder,94,99
Sacramento Kings,136,117
Dallas Mavericks,109,123
Los Angeles Lakers,106,114
Los Angeles Clippers,92,106
Minnesota Timberwolves,90,115
Phoenix Suns,111,115
Atlanta Hawks,106,124
Boston Celtics,96,88
Washington Wizards,116,99
Portland Trail Blazers,114,83
Golden State Warriors,112,107
Phoenix Suns,104,108
New York Knicks,109,121
Denver Nuggets,123,111
Denver Nuggets,112,127
New Orleans Pelicans,112,97
Charlotte Hornets,115,131
Utah Jazz,128,126
Sacramento Kings,114,121
Los Angeles Clippers,116,92
Los Angeles Lakers,138,110
Detroit Pistons,144,109
Utah Jazz,104,110
Memphis Grizzlies,105,118
Detroit Pistons,116,117
Toronto Raptors,104,129
Boston Celtics,99,97
Philadelphia 76ers,100,119
Brooklyn Nets,119,121
New York Knicks,96,111
Houston Rockets,124,128
Cleveland Cavaliers,109,114
Los Angeles Clippers,101,94
Phoenix Suns,107,121
Oklahoma City Thunder,118,96
Brooklyn Nets,102,117
Philadelphia 76ers,109,115
Houston Rockets,134,104
Memphis Grizzlies,110,118
Chicago Bulls,131,122
Phoenix Suns,110,115
Golden State Warriors,120,124
Miami Heat,95,112
Houston Rockets,131,106
Cleveland Cavaliers,92,105
Atlanta Hawks,136,121
New Orleans Pelicans,124,114
Chicago Bulls,109,120
Oklahoma City Thunder,114,106
Washington Wizards,157,153
Miami Heat,129,133
Memphis Grizzlies,105,118
Sacramento Kings,112,115
Charlotte Hornets,117,123
Los Angeles Lakers,117,110
Toronto Raptors,104,119
Utah Jazz,104,102
Indiana Pacers,108,119
Minnesota Timberwolves,139,149
Oklahoma City Thunder,122,120
